"","date","visits","Page_Summary"
"300",2016-07-26,1011,"1999_"
"301",2016-07-27,1046,"1999_"
"302",2016-07-28,1049,"1999_"
"303",2016-07-29,1236,"1999_"
"304",2016-07-30,1150,"1999_"
"305",2016-07-31,1234,"1999_"
"306",2016-08-01,1161,"1999_"
"307",2016-08-02,1004,"1999_"
"308",2016-08-03,1083,"1999_"
"309",2016-08-04,952,"1999_"
"310",2016-08-05,1082,"1999_"
"311",2016-08-06,1009,"1999_"
"312",2016-08-07,1048,"1999_"
"313",2016-08-08,922,"1999_"
"314",2016-08-09,1274,"1999_"
"315",2016-08-10,1116,"1999_"
"316",2016-08-11,926,"1999_"
"317",2016-08-12,949,"1999_"
"318",2016-08-13,920,"1999_"
"319",2016-08-14,1031,"1999_"
"320",2016-08-15,994,"1999_"
"321",2016-08-16,1124,"1999_"
"322",2016-08-17,981,"1999_"
"323",2016-08-18,991,"1999_"
"324",2016-08-19,984,"1999_"
"325",2016-08-20,996,"1999_"
"326",2016-08-21,1032,"1999_"
"327",2016-08-22,995,"1999_"
"328",2016-08-23,1291,"1999_"
"329",2016-08-24,940,"1999_"
"330",2016-08-25,1090,"1999_"
"331",2016-08-26,1046,"1999_"
"332",2016-08-27,1073,"1999_"
"333",2016-08-28,1136,"1999_"
"334",2016-08-29,862,"1999_"
"335",2016-08-30,858,"1999_"
"336",2016-08-31,941,"1999_"
"337",2016-09-01,950,"1999_"
"338",2016-09-02,1052,"1999_"
"339",2016-09-03,1198,"1999_"
"340",2016-09-04,1012,"1999_"
"341",2016-09-05,1018,"1999_"
"342",2016-09-06,934,"1999_"
"343",2016-09-07,904,"1999_"
"344",2016-09-08,1009,"1999_"
"345",2016-09-09,859,"1999_"
"346",2016-09-10,881,"1999_"
"347",2016-09-11,826,"1999_"
"348",2016-09-12,828,"1999_"
"349",2016-09-13,796,"1999_"
"350",2016-09-14,20675,"1999_"
"351",2016-09-15,1166,"1999_"
"352",2016-09-16,924,"1999_"
"353",2016-09-17,977,"1999_"
"354",2016-09-18,808,"1999_"
"355",2016-09-19,1067,"1999_"
"356",2016-09-20,1051,"1999_"
"357",2016-09-21,810,"1999_"
"358",2016-09-22,893,"1999_"
"359",2016-09-23,799,"1999_"
"360",2016-09-24,966,"1999_"
"361",2016-09-25,917,"1999_"
"362",2016-09-26,844,"1999_"
"363",2016-09-27,827,"1999_"
"364",2016-09-28,820,"1999_"
"365",2016-09-29,853,"1999_"
"366",2016-09-30,856,"1999_"
"367",2016-10-01,744,"1999_"
"368",2016-10-02,810,"1999_"
"369",2016-10-03,831,"1999_"
"370",2016-10-04,873,"1999_"
"371",2016-10-05,889,"1999_"
"372",2016-10-06,937,"1999_"
"373",2016-10-07,914,"1999_"
"374",2016-10-08,939,"1999_"
"375",2016-10-09,960,"1999_"
"376",2016-10-10,822,"1999_"
"377",2016-10-11,859,"1999_"
"378",2016-10-12,879,"1999_"
"379",2016-10-13,1023,"1999_"
"380",2016-10-14,1031,"1999_"
"381",2016-10-15,1045,"1999_"
"382",2016-10-16,923,"1999_"
"383",2016-10-17,831,"1999_"
"384",2016-10-18,856,"1999_"
"385",2016-10-19,792,"1999_"
"386",2016-10-20,898,"1999_"
"387",2016-10-21,1065,"1999_"
"388",2016-10-22,971,"1999_"
"389",2016-10-23,975,"1999_"
"390",2016-10-24,1224,"1999_"
"391",2016-10-25,978,"1999_"
"392",2016-10-26,1076,"1999_"
"393",2016-10-27,1882,"1999_"
"394",2016-10-28,1360,"1999_"
"395",2016-10-29,964,"1999_"
"396",2016-10-30,958,"1999_"
"397",2016-10-31,850,"1999_"
"398",2016-11-01,881,"1999_"
"399",2016-11-02,858,"1999_"
"400",2016-11-03,933,"1999_"
"401",2016-11-04,1064,"1999_"
"402",2016-11-05,902,"1999_"
"403",2016-11-06,1002,"1999_"
"404",2016-11-07,915,"1999_"
"405",2016-11-08,904,"1999_"
"406",2016-11-09,715,"1999_"
"407",2016-11-10,867,"1999_"
"408",2016-11-11,817,"1999_"
"409",2016-11-12,826,"1999_"
"410",2016-11-13,1053,"1999_"
"411",2016-11-14,964,"1999_"
"412",2016-11-15,861,"1999_"
"413",2016-11-16,1010,"1999_"
"414",2016-11-17,930,"1999_"
"415",2016-11-18,1088,"1999_"
"416",2016-11-19,1047,"1999_"
"417",2016-11-20,944,"1999_"
"418",2016-11-21,1071,"1999_"
"419",2016-11-22,1061,"1999_"
"420",2016-11-23,1261,"1999_"
"421",2016-11-24,996,"1999_"
"422",2016-11-25,1233,"1999_"
"423",2016-11-26,1129,"1999_"
"424",2016-11-27,1206,"1999_"
"425",2016-11-28,1040,"1999_"
"426",2016-11-29,1028,"1999_"
"427",2016-11-30,1106,"1999_"
"428",2016-12-01,1006,"1999_"
"429",2016-12-02,998,"1999_"
"430",2016-12-03,971,"1999_"
"431",2016-12-04,1427,"1999_"
"432",2016-12-05,973,"1999_"
"433",2016-12-06,904,"1999_"
"434",2016-12-07,1036,"1999_"
"435",2016-12-08,1019,"1999_"
"436",2016-12-09,1038,"1999_"
"437",2016-12-10,1125,"1999_"
"438",2016-12-11,1147,"1999_"
"439",2016-12-12,956,"1999_"
"440",2016-12-13,966,"1999_"
"441",2016-12-14,1041,"1999_"
"442",2016-12-15,1027,"1999_"
"443",2016-12-16,826,"1999_"
"444",2016-12-17,941,"1999_"
"445",2016-12-18,1015,"1999_"
"446",2016-12-19,1319,"1999_"
"447",2016-12-20,938,"1999_"
"448",2016-12-21,963,"1999_"
"449",2016-12-22,1118,"1999_"
"450",2016-12-23,1014,"1999_"
"451",2016-12-24,1131,"1999_"
"452",2016-12-25,1079,"1999_"
"453",2016-12-26,1466,"1999_"
"454",2016-12-27,1405,"1999_"
"455",2016-12-28,1734,"1999_"
"456",2016-12-29,1454,"1999_"
"457",2016-12-30,1778,"1999_"
"458",2016-12-31,2368,"1999_"
"459",2015-10-01,754,"Alabama_Crimson_Tide"
"460",2015-10-02,862,"Alabama_Crimson_Tide"
"461",2015-10-03,3482,"Alabama_Crimson_Tide"
"462",2015-10-04,2434,"Alabama_Crimson_Tide"
"463",2015-10-05,1258,"Alabama_Crimson_Tide"
"464",2015-10-06,915,"Alabama_Crimson_Tide"
"465",2015-10-07,715,"Alabama_Crimson_Tide"
"466",2015-10-08,794,"Alabama_Crimson_Tide"
"467",2015-10-09,801,"Alabama_Crimson_Tide"
"468",2015-10-10,1930,"Alabama_Crimson_Tide"
"469",2015-10-11,2677,"Alabama_Crimson_Tide"
"470",2015-10-12,946,"Alabama_Crimson_Tide"
"471",2015-10-13,1147,"Alabama_Crimson_Tide"
"472",2015-10-14,1004,"Alabama_Crimson_Tide"
"473",2015-10-15,734,"Alabama_Crimson_Tide"
"474",2015-10-16,1014,"Alabama_Crimson_Tide"
"475",2015-10-17,2413,"Alabama_Crimson_Tide"
"476",2015-10-18,2158,"Alabama_Crimson_Tide"
"477",2015-10-19,946,"Alabama_Crimson_Tide"
"478",2015-10-20,902,"Alabama_Crimson_Tide"
"479",2015-10-21,943,"Alabama_Crimson_Tide"
"480",2015-10-22,793,"Alabama_Crimson_Tide"
"481",2015-10-23,978,"Alabama_Crimson_Tide"
"482",2015-10-24,3074,"Alabama_Crimson_Tide"
"483",2015-10-25,2125,"Alabama_Crimson_Tide"
"484",2015-10-26,1264,"Alabama_Crimson_Tide"
"485",2015-10-27,1017,"Alabama_Crimson_Tide"
"486",2015-10-28,874,"Alabama_Crimson_Tide"
"487",2015-10-29,729,"Alabama_Crimson_Tide"
"488",2015-10-30,831,"Alabama_Crimson_Tide"
"489",2015-10-31,1374,"Alabama_Crimson_Tide"
"490",2015-11-01,1343,"Alabama_Crimson_Tide"
"491",2015-11-02,929,"Alabama_Crimson_Tide"
"492",2015-11-03,953,"Alabama_Crimson_Tide"
"493",2015-11-04,1368,"Alabama_Crimson_Tide"
"494",2015-11-05,1054,"Alabama_Crimson_Tide"
"495",2015-11-06,1195,"Alabama_Crimson_Tide"
"496",2015-11-07,2553,"Alabama_Crimson_Tide"
"497",2015-11-08,7955,"Alabama_Crimson_Tide"
"498",2015-11-09,1564,"Alabama_Crimson_Tide"
"499",2015-11-10,1030,"Alabama_Crimson_Tide"
"500",2015-11-11,1160,"Alabama_Crimson_Tide"
"501",2015-11-12,970,"Alabama_Crimson_Tide"
"502",2015-11-13,1053,"Alabama_Crimson_Tide"
"503",2015-11-14,2441,"Alabama_Crimson_Tide"
"504",2015-11-15,2248,"Alabama_Crimson_Tide"
"505",2015-11-16,1117,"Alabama_Crimson_Tide"
"506",2015-11-17,905,"Alabama_Crimson_Tide"
"507",2015-11-18,936,"Alabama_Crimson_Tide"
"508",2015-11-19,948,"Alabama_Crimson_Tide"
"509",2015-11-20,1012,"Alabama_Crimson_Tide"
"510",2015-11-21,2283,"Alabama_Crimson_Tide"
"511",2015-11-22,2494,"Alabama_Crimson_Tide"
"512",2015-11-23,1438,"Alabama_Crimson_Tide"
"513",2015-11-24,1256,"Alabama_Crimson_Tide"
"514",2015-11-25,1245,"Alabama_Crimson_Tide"
"515",2015-11-26,1383,"Alabama_Crimson_Tide"
"516",2015-11-27,2139,"Alabama_Crimson_Tide"
"517",2015-11-28,5584,"Alabama_Crimson_Tide"
"518",2015-11-29,5497,"Alabama_Crimson_Tide"
"519",2015-11-30,2308,"Alabama_Crimson_Tide"
"520",2015-12-01,1787,"Alabama_Crimson_Tide"
"521",2015-12-02,2113,"Alabama_Crimson_Tide"
"522",2015-12-03,1450,"Alabama_Crimson_Tide"
"523",2015-12-04,1730,"Alabama_Crimson_Tide"
"524",2015-12-05,5735,"Alabama_Crimson_Tide"
"525",2015-12-06,9857,"Alabama_Crimson_Tide"
"526",2015-12-07,2791,"Alabama_Crimson_Tide"
"527",2015-12-08,1749,"Alabama_Crimson_Tide"
"528",2015-12-09,1205,"Alabama_Crimson_Tide"
"529",2015-12-10,1277,"Alabama_Crimson_Tide"
"530",2015-12-11,1778,"Alabama_Crimson_Tide"
"531",2015-12-12,1771,"Alabama_Crimson_Tide"
"532",2015-12-13,5608,"Alabama_Crimson_Tide"
"533",2015-12-14,1943,"Alabama_Crimson_Tide"
"534",2015-12-15,1539,"Alabama_Crimson_Tide"
"535",2015-12-16,1003,"Alabama_Crimson_Tide"
"536",2015-12-17,877,"Alabama_Crimson_Tide"
"537",2015-12-18,834,"Alabama_Crimson_Tide"
"538",2015-12-19,1281,"Alabama_Crimson_Tide"
"539",2015-12-20,1158,"Alabama_Crimson_Tide"
"540",2015-12-21,1178,"Alabama_Crimson_Tide"
"541",2015-12-22,1055,"Alabama_Crimson_Tide"
"542",2015-12-23,898,"Alabama_Crimson_Tide"
"543",2015-12-24,986,"Alabama_Crimson_Tide"
"544",2015-12-25,1205,"Alabama_Crimson_Tide"
"545",2015-12-26,1337,"Alabama_Crimson_Tide"
"546",2015-12-27,1551,"Alabama_Crimson_Tide"
"547",2015-12-28,1274,"Alabama_Crimson_Tide"
"548",2015-12-29,2417,"Alabama_Crimson_Tide"
"549",2015-12-30,2318,"Alabama_Crimson_Tide"
"550",2015-12-31,4488,"Alabama_Crimson_Tide"
"551",2016-01-01,21834,"Alabama_Crimson_Tide"
"552",2016-01-02,5633,"Alabama_Crimson_Tide"
"553",2016-01-03,3514,"Alabama_Crimson_Tide"
"554",2016-01-04,2594,"Alabama_Crimson_Tide"
"555",2016-01-05,2409,"Alabama_Crimson_Tide"
"556",2016-01-06,2283,"Alabama_Crimson_Tide"
"557",2016-01-07,2608,"Alabama_Crimson_Tide"
"558",2016-01-08,2480,"Alabama_Crimson_Tide"
"559",2016-01-09,3624,"Alabama_Crimson_Tide"
"560",2016-01-10,4724,"Alabama_Crimson_Tide"
"561",2016-01-11,9515,"Alabama_Crimson_Tide"
"562",2016-01-12,80305,"Alabama_Crimson_Tide"
"563",2016-01-13,8434,"Alabama_Crimson_Tide"
"564",2016-01-14,3696,"Alabama_Crimson_Tide"
"565",2016-01-15,2564,"Alabama_Crimson_Tide"
"566",2016-01-16,2240,"Alabama_Crimson_Tide"
"567",2016-01-17,3143,"Alabama_Crimson_Tide"
"568",2016-01-18,1468,"Alabama_Crimson_Tide"
"569",2016-01-19,1136,"Alabama_Crimson_Tide"
"570",2016-01-20,1182,"Alabama_Crimson_Tide"
"571",2016-01-21,912,"Alabama_Crimson_Tide"
"572",2016-01-22,1075,"Alabama_Crimson_Tide"
"573",2016-01-23,1275,"Alabama_Crimson_Tide"
"574",2016-01-24,1479,"Alabama_Crimson_Tide"
"575",2016-01-25,2045,"Alabama_Crimson_Tide"
"576",2016-01-26,1020,"Alabama_Crimson_Tide"
"577",2016-01-27,953,"Alabama_Crimson_Tide"
"578",2016-01-28,887,"Alabama_Crimson_Tide"
"579",2016-01-29,766,"Alabama_Crimson_Tide"
"580",2016-01-30,979,"Alabama_Crimson_Tide"
"581",2016-01-31,893,"Alabama_Crimson_Tide"
"582",2016-02-01,685,"Alabama_Crimson_Tide"
"583",2016-02-02,633,"Alabama_Crimson_Tide"
"584",2016-02-03,977,"Alabama_Crimson_Tide"
"585",2016-02-04,914,"Alabama_Crimson_Tide"
"586",2016-02-05,746,"Alabama_Crimson_Tide"
"587",2016-02-06,902,"Alabama_Crimson_Tide"
"588",2016-02-07,1336,"Alabama_Crimson_Tide"
"589",2016-02-08,1992,"Alabama_Crimson_Tide"
"590",2016-02-09,758,"Alabama_Crimson_Tide"
"591",2016-02-10,587,"Alabama_Crimson_Tide"
"592",2016-02-11,541,"Alabama_Crimson_Tide"
"593",2016-02-12,521,"Alabama_Crimson_Tide"
"594",2016-02-13,645,"Alabama_Crimson_Tide"
"595",2016-02-14,539,"Alabama_Crimson_Tide"
"596",2016-02-15,425,"Alabama_Crimson_Tide"
"597",2016-02-16,453,"Alabama_Crimson_Tide"
"598",2016-02-17,426,"Alabama_Crimson_Tide"
"599",2016-02-18,479,"Alabama_Crimson_Tide"
"600",2016-02-19,445,"Alabama_Crimson_Tide"
"601",2016-02-20,525,"Alabama_Crimson_Tide"
"602",2016-02-21,568,"Alabama_Crimson_Tide"
"603",2016-02-22,497,"Alabama_Crimson_Tide"
"604",2016-02-23,510,"Alabama_Crimson_Tide"
"605",2016-02-24,465,"Alabama_Crimson_Tide"
"606",2016-02-25,489,"Alabama_Crimson_Tide"
"607",2016-02-26,508,"Alabama_Crimson_Tide"
"608",2016-02-27,527,"Alabama_Crimson_Tide"
"609",2016-02-28,519,"Alabama_Crimson_Tide"
"610",2016-02-29,427,"Alabama_Crimson_Tide"
"611",2016-03-01,434,"Alabama_Crimson_Tide"
"612",2016-03-02,396,"Alabama_Crimson_Tide"
"613",2016-03-03,469,"Alabama_Crimson_Tide"
"614",2016-03-04,399,"Alabama_Crimson_Tide"
"615",2016-03-05,452,"Alabama_Crimson_Tide"
"616",2016-03-06,434,"Alabama_Crimson_Tide"
"617",2016-03-07,385,"Alabama_Crimson_Tide"
"618",2016-03-08,393,"Alabama_Crimson_Tide"
"619",2016-03-09,458,"Alabama_Crimson_Tide"
"620",2016-03-10,453,"Alabama_Crimson_Tide"
"621",2016-03-11,431,"Alabama_Crimson_Tide"
"622",2016-03-12,538,"Alabama_Crimson_Tide"
"623",2016-03-13,521,"Alabama_Crimson_Tide"
"624",2016-03-14,422,"Alabama_Crimson_Tide"
"625",2016-03-15,346,"Alabama_Crimson_Tide"
"626",2016-03-16,386,"Alabama_Crimson_Tide"
"627",2016-03-17,390,"Alabama_Crimson_Tide"
"628",2016-03-18,400,"Alabama_Crimson_Tide"
"629",2016-03-19,515,"Alabama_Crimson_Tide"
"630",2016-03-20,505,"Alabama_Crimson_Tide"
"631",2016-03-21,430,"Alabama_Crimson_Tide"
"632",2016-03-22,355,"Alabama_Crimson_Tide"
"633",2016-03-23,384,"Alabama_Crimson_Tide"
"634",2016-03-24,388,"Alabama_Crimson_Tide"
"635",2016-03-25,528,"Alabama_Crimson_Tide"
"636",2016-03-26,490,"Alabama_Crimson_Tide"
"637",2016-03-27,565,"Alabama_Crimson_Tide"
"638",2016-03-28,528,"Alabama_Crimson_Tide"
"639",2016-03-29,373,"Alabama_Crimson_Tide"
"640",2016-03-30,420,"Alabama_Crimson_Tide"
"641",2016-03-31,416,"Alabama_Crimson_Tide"
"642",2016-04-01,497,"Alabama_Crimson_Tide"
"643",2016-04-02,473,"Alabama_Crimson_Tide"
"644",2016-04-03,531,"Alabama_Crimson_Tide"
"645",2016-04-04,469,"Alabama_Crimson_Tide"
"646",2016-04-05,621,"Alabama_Crimson_Tide"
"647",2016-04-06,477,"Alabama_Crimson_Tide"
"648",2016-04-07,433,"Alabama_Crimson_Tide"
"649",2016-04-08,455,"Alabama_Crimson_Tide"
"650",2016-04-09,476,"Alabama_Crimson_Tide"
"651",2016-04-10,493,"Alabama_Crimson_Tide"
"652",2016-04-11,372,"Alabama_Crimson_Tide"
